,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
343,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
265,0,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
540,1,1,female,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False
866,1,2,female,27.0,1,0,13.8583,C,Second,woman,False,,Cherbourg,yes,False
874,1,2,female,28.0,1,0,24.0,C,Second,woman,False,,Cherbourg,yes,False
572,1,1,male,36.0,0,0,26.3875,S,First,man,True,E,Southampton,yes,True
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False
778,0,3,male,,0,0,7.7375,Q,Third,man,True,,Queenstown,no,True
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
821,1,3,male,27.0,0,0,8.6625,S,Third,man,True,,Southampton,yes,True
538,0,3,male,,0,0,14.5,S,Third,man,True,,Southampton,no,True
735,0,3,male,28.5,0,0,16.1,S,Third,man,True,,Southampton,no,True
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False
637,0,2,male,31.0,1,1,26.25,S,Second,man,True,,Southampton,no,False
727,1,3,female,,0,0,7.7375,Q,Third,woman,False,,Queenstown,yes,True
738,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
830,1,3,female,15.0,1,0,14.4542,C,Third,child,False,,Cherbourg,yes,False
872,0,1,male,33.0,0,0,5.0,S,First,man,True,B,Southampton,no,True
871,1,1,female,47.0,1,1,52.5542,S,First,woman,False,D,Southampton,yes,False
542,0,3,female,11.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
459,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
301,1,3,male,,2,0,23.25,Q,Third,man,True,,Queenstown,yes,False
736,0,3,female,48.0,1,3,34.375,S,Third,woman,False,,Southampton,no,False
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
770,0,3,male,24.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
267,1,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,yes,False
743,0,3,male,24.0,1,0,16.1,S,Third,man,True,,Southampton,no,False
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
465,0,3,male,38.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
252,0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True
724,1,1,male,27.0,1,0,53.1,S,First,man,True,E,Southampton,yes,False
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True
544,0,1,male,50.0,1,0,106.425,C,First,man,True,C,Cherbourg,no,False
308,0,2,male,30.0,1,0,24.0,C,Second,man,True,,Cherbourg,no,False
492,0,1,male,55.0,0,0,30.5,S,First,man,True,C,Southampton,no,True
461,0,3,male,34.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
504,1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
812,0,2,male,35.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
741,0,1,male,36.0,1,0,78.85,S,First,man,True,C,Southampton,no,False
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True
713,0,3,male,29.0,0,0,9.4833,S,Third,man,True,,Southampton,no,True
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False
399,1,2,female,28.0,0,0,12.65,S,Second,woman,False,,Southampton,yes,True
717,1,2,female,27.0,0,0,10.5,S,Second,woman,False,E,Southampton,yes,True
623,0,3,male,21.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
803,1,3,male,0.42,0,1,8.5167,C,Third,child,False,,Cherbourg,yes,False
239,0,2,male,33.0,0,0,12.275,S,Second,man,True,,Southampton,no,True
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True
553,1,3,male,22.0,0,0,7.225,C,Third,man,True,,Cherbourg,yes,True
597,0,3,male,49.0,0,0,0.0,S,Third,man,True,,Southampton,no,True
559,1,3,female,36.0,1,0,17.4,S,Third,woman,False,,Southampton,yes,False
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False
186,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False
401,0,3,male,26.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
783,0,3,male,,1,2,23.45,S,Third,man,True,,Southampton,no,False
317,0,2,male,54.0,0,0,14.0,S,Second,man,True,,Southampton,no,True
617,0,3,female,26.0,1,0,16.1,S,Third,woman,False,,Southampton,no,False
413,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
489,1,3,male,9.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False
680,0,3,female,,0,0,8.1375,Q,Third,woman,False,,Queenstown,no,True
505,0,1,male,18.0,1,0,108.9,C,First,man,True,C,Cherbourg,no,False
347,1,3,female,,1,0,16.1,S,Third,woman,False,,Southampton,yes,False
452,0,1,male,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,no,True
170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True
566,0,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
435,1,1,female,14.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False
580,1,2,female,25.0,1,1,30.0,S,Second,woman,False,,Southampton,yes,False
679,1,1,male,36.0,0,1,512.3292,C,First,man,True,B,Cherbourg,yes,False
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True
506,1,2,female,33.0,0,2,26.0,S,Second,woman,False,,Southampton,yes,False
758,0,3,male,34.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
864,0,2,male,24.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
291,1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False
686,0,3,male,14.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
569,1,3,male,32.0,0,0,7.8542,S,Third,man,True,,Southampton,yes,True
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True
712,1,1,male,48.0,1,0,52.0,S,First,man,True,C,Southampton,yes,False
436,0,3,female,21.0,2,2,34.375,S,Third,woman,False,,Southampton,no,False
885,0,3,female,39.0,0,5,29.125,Q,Third,woman,False,,Queenstown,no,False
801,1,2,female,31.0,1,1,26.25,S,Second,woman,False,,Southampton,yes,False
510,1,3,male,29.0,0,0,7.75,Q,Third,man,True,,Queenstown,yes,True
253,0,3,male,30.0,1,0,16.1,S,Third,man,True,,Southampton,no,False
531,0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
591,1,1,female,52.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
490,0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
626,0,2,male,57.0,0,0,12.35,Q,Second,man,True,,Queenstown,no,True
817,0,2,male,31.0,1,1,37.0042,C,Second,man,True,,Cherbourg,no,False
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False
654,0,3,female,18.0,0,0,6.75,Q,Third,woman,False,,Queenstown,no,True
234,0,2,male,24.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
397,0,2,male,46.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
409,0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False
539,1,1,female,22.0,0,2,49.5,C,First,woman,False,B,Cherbourg,yes,False
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False
422,0,3,male,29.0,0,0,7.875,S,Third,man,True,,Southampton,no,True
388,0,3,male,,0,0,7.7292,Q,Third,man,True,,Queenstown,no,True
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False
879,1,1,female,56.0,0,1,83.1583,C,First,woman,False,C,Cherbourg,yes,False
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True
676,0,3,male,24.5,0,0,8.05,S,Third,man,True,,Southampton,no,True
287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
786,1,3,female,18.0,0,0,7.4958,S,Third,woman,False,,Southampton,yes,True
331,0,1,male,45.5,0,0,28.5,S,First,man,True,C,Southampton,no,True
537,1,1,female,30.0,0,0,106.425,C,First,woman,False,,Cherbourg,yes,True
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True
878,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
781,1,1,female,17.0,1,0,57.0,S,First,woman,False,B,Southampton,yes,False
283,1,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
381,1,3,female,1.0,0,2,15.7417,C,Third,child,False,,Cherbourg,yes,False
740,1,1,male,,0,0,30.0,S,First,man,True,D,Southampton,yes,True
285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True
584,0,3,male,,0,0,8.7125,C,Third,man,True,,Cherbourg,no,True
341,1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
410,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
511,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
852,0,3,female,9.0,1,1,15.2458,C,Third,child,False,,Cherbourg,no,False
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
278,0,3,male,7.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
646,0,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True
374,0,3,female,3.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
514,0,3,male,24.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True
638,0,3,female,41.0,0,5,39.6875,S,Third,woman,False,,Southampton,no,False
17,1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True
456,0,1,male,65.0,0,0,26.55,S,First,man,True,E,Southampton,no,True
687,0,3,male,19.0,0,0,10.1708,S,Third,man,True,,Southampton,no,True
305,1,1,male,0.92,1,2,151.55,S,First,child,False,C,Southampton,yes,False
76,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
442,0,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,no,False
711,0,1,male,,0,0,26.55,S,First,man,True,C,Southampton,no,True
451,0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False
349,0,3,male,42.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
424,0,3,male,18.0,1,1,20.2125,S,Third,man,True,,Southampton,no,False
653,1,3,female,,0,0,7.8292,Q,Third,woman,False,,Queenstown,yes,True
463,0,2,male,48.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
260,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
815,0,1,male,,0,0,0.0,S,First,man,True,B,Southampton,no,True
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True
480,0,3,male,9.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
886,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
869,1,3,male,4.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False
214,0,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False
248,1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False
700,1,1,female,18.0,1,0,227.525,C,First,woman,False,C,Cherbourg,yes,False
345,1,2,female,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,yes,True
185,0,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
536,0,1,male,45.0,0,0,26.55,S,First,man,True,B,Southampton,no,True
364,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False
813,0,3,female,6.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
434,0,1,male,50.0,1,0,55.9,S,First,man,True,E,Southampton,no,False
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False
290,1,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True
340,1,2,male,2.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
236,0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False
95,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
325,1,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True
302,0,3,male,19.0,0,0,0.0,S,Third,man,True,,Southampton,no,True
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
495,0,3,male,,0,0,14.4583,C,Third,man,True,,Cherbourg,no,True
277,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
861,0,2,male,21.0,1,0,11.5,S,Second,man,True,,Southampton,no,False
588,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
664,1,3,male,20.0,1,0,7.925,S,Third,man,True,,Southampton,yes,False
87,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
762,1,3,male,20.0,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True
224,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False
652,0,3,male,21.0,0,0,8.4333,S,Third,man,True,,Southampton,no,True
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False
326,0,3,male,61.0,0,0,6.2375,S,Third,man,True,,Southampton,no,True
627,1,1,female,21.0,0,0,77.9583,S,First,woman,False,D,Southampton,yes,True
471,0,3,male,38.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
223,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
421,0,3,male,21.0,0,0,7.7333,Q,Third,man,True,,Queenstown,no,True
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
468,0,3,male,,0,0,7.725,Q,Third,man,True,,Queenstown,no,True
677,1,3,female,18.0,0,0,9.8417,S,Third,woman,False,,Southampton,yes,True
264,0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True
577,1,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
255,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,yes,False
428,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
624,0,3,male,21.0,0,0,16.1,S,Third,man,True,,Southampton,no,True
681,1,1,male,27.0,0,0,76.7292,C,First,man,True,D,Cherbourg,yes,True
655,0,2,male,24.0,2,0,73.5,S,Second,man,True,,Southampton,no,False
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False
258,1,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True
478,0,3,male,22.0,0,0,7.5208,S,Third,man,True,,Southampton,no,True
310,1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True
613,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False
877,0,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
55,1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True
846,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
375,1,1,female,,1,0,82.1708,C,First,woman,False,,Cherbourg,yes,False
443,1,2,female,28.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
541,0,3,female,9.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
282,0,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False
756,0,3,male,28.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True
776,0,3,male,,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True
457,1,1,female,,1,0,51.8625,S,First,woman,False,D,Southampton,yes,False
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
427,1,2,female,19.0,0,0,26.0,S,Second,woman,False,,Southampton,yes,True
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True
