,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False
126,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
128,1,3,female,,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True
140,0,3,female,,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True
154,0,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
158,0,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True
159,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
166,1,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False
168,0,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False
176,0,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
180,0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False
181,0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
187,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
196,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
201,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
225,0,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True
229,0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False
231,0,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
237,1,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False
238,0,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
240,0,3,female,,1,0,14.4542,C,Third,woman,False,,Cherbourg,no,False
241,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False
242,0,2,male,29.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
244,0,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
245,0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False
246,0,3,female,25.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True
247,1,2,female,24.0,0,2,14.5,S,Second,woman,False,,Southampton,yes,False
250,0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
256,1,1,female,,0,0,79.2,C,First,woman,False,,Cherbourg,yes,True
257,1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
263,0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True
266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False
268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False
270,0,1,male,,0,0,31.0,S,First,man,True,,Southampton,no,True
273,0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False
274,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True
279,1,3,female,35.0,1,1,20.25,S,Third,woman,False,,Southampton,yes,False
280,0,3,male,65.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
286,1,3,male,30.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True
289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
292,0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True
293,0,3,female,24.0,0,0,8.85,S,Third,woman,False,,Southampton,no,True
294,0,3,male,24.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
296,0,3,male,23.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
297,0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False
298,1,1,male,,0,0,30.5,S,First,man,True,C,Southampton,yes,True
304,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
306,1,1,female,,0,0,110.8833,C,First,woman,False,,Cherbourg,yes,True
307,1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False
309,1,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True
312,0,2,female,26.0,1,1,26.0,S,Second,woman,False,,Southampton,no,False
313,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
315,1,3,female,26.0,0,0,7.8542,S,Third,woman,False,,Southampton,yes,True
316,1,2,female,24.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
318,1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False
319,1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False
320,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
321,0,3,male,27.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
324,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
327,1,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True
328,1,3,female,31.0,1,1,20.525,S,Third,woman,False,,Southampton,yes,False
332,0,1,male,38.0,0,1,153.4625,S,First,man,True,C,Southampton,no,False
333,0,3,male,16.0,2,0,18.0,S,Third,man,True,,Southampton,no,False
334,1,1,female,,1,0,133.65,S,First,woman,False,,Southampton,yes,False
336,0,1,male,29.0,1,0,66.6,S,First,man,True,C,Southampton,no,False
338,1,3,male,45.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
339,0,1,male,45.0,0,0,35.5,S,First,man,True,,Southampton,no,True
342,0,2,male,28.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
344,0,2,male,36.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
346,1,2,female,40.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
350,0,3,male,23.0,0,0,9.225,S,Third,man,True,,Southampton,no,True
351,0,1,male,,0,0,35.0,S,First,man,True,C,Southampton,no,True
352,0,3,male,15.0,1,1,7.2292,C,Third,child,False,,Cherbourg,no,False
353,0,3,male,25.0,1,0,17.8,S,Third,man,True,,Southampton,no,False
354,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
356,1,1,female,22.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
357,0,2,female,38.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True
358,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
359,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
362,0,3,female,45.0,0,1,14.4542,C,Third,woman,False,,Cherbourg,no,False
363,0,3,male,35.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
365,0,3,male,30.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
367,1,3,female,,0,0,7.2292,C,Third,woman,False,,Cherbourg,yes,True
369,1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
370,1,1,male,25.0,1,0,55.4417,C,First,man,True,E,Cherbourg,yes,False
371,0,3,male,18.0,1,0,6.4958,S,Third,man,True,,Southampton,no,False
376,1,3,female,22.0,0,0,7.25,S,Third,woman,False,,Southampton,yes,True
378,0,3,male,20.0,0,0,4.0125,C,Third,man,True,,Cherbourg,no,True
379,0,3,male,19.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
382,0,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
383,1,1,female,35.0,1,0,52.0,S,First,woman,False,,Southampton,yes,False
384,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
385,0,2,male,18.0,0,0,73.5,S,Second,man,True,,Southampton,no,True
386,0,3,male,1.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
387,1,2,female,36.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
389,1,2,female,17.0,0,0,12.0,C,Second,woman,False,,Cherbourg,yes,True
390,1,1,male,36.0,1,2,120.0,S,First,man,True,B,Southampton,yes,False
391,1,3,male,21.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True
392,0,3,male,28.0,2,0,7.925,S,Third,man,True,,Southampton,no,False
394,1,3,female,24.0,0,2,16.7,S,Third,woman,False,G,Southampton,yes,False
402,0,3,female,21.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False
403,0,3,male,28.0,1,0,15.85,S,Third,man,True,,Southampton,no,False
404,0,3,female,20.0,0,0,8.6625,S,Third,woman,False,,Southampton,no,True
408,0,3,male,21.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
414,1,3,male,44.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
418,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
419,0,3,female,10.0,0,2,24.15,S,Third,child,False,,Southampton,no,False
420,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
423,0,3,female,28.0,1,1,14.4,S,Third,woman,False,,Southampton,no,False
425,0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
426,1,2,female,28.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
429,1,3,male,32.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True
430,1,1,male,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True
432,1,2,female,42.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
433,0,3,male,17.0,0,0,7.125,S,Third,man,True,,Southampton,no,True
437,1,2,female,24.0,2,3,18.75,S,Second,woman,False,,Southampton,yes,False
438,0,1,male,64.0,1,4,263.0,S,First,man,True,C,Southampton,no,False
439,0,2,male,31.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
440,1,2,female,45.0,1,1,26.25,S,Second,woman,False,,Southampton,yes,False
444,1,3,male,,0,0,8.1125,S,Third,man,True,,Southampton,yes,True
445,1,1,male,4.0,0,2,81.8583,S,First,child,False,A,Southampton,yes,False
446,1,2,female,13.0,0,1,19.5,S,Second,child,False,,Southampton,yes,False
447,1,1,male,34.0,0,0,26.55,S,First,man,True,,Southampton,yes,True
448,1,3,female,5.0,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False
449,1,1,male,52.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True
450,0,2,male,36.0,1,2,27.75,S,Second,man,True,,Southampton,no,False
453,1,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False
458,1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
460,1,1,male,48.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True
462,0,1,male,47.0,0,0,38.5,S,First,man,True,E,Southampton,no,True
464,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
469,1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False
472,1,2,female,33.0,1,2,27.75,S,Second,woman,False,,Southampton,yes,False
474,0,3,female,22.0,0,0,9.8375,S,Third,woman,False,,Southampton,no,True
475,0,1,male,,0,0,52.0,S,First,man,True,A,Southampton,no,True
476,0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
477,0,3,male,29.0,1,0,7.0458,S,Third,man,True,,Southampton,no,False
479,1,3,female,2.0,0,1,12.2875,S,Third,child,False,,Southampton,yes,False
481,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
482,0,3,male,50.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
484,1,1,male,25.0,1,0,91.0792,C,First,man,True,B,Cherbourg,yes,False
486,1,1,female,35.0,1,0,90.0,S,First,woman,False,C,Southampton,yes,False
488,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
491,0,3,male,21.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
493,0,1,male,71.0,0,0,49.5042,C,First,man,True,,Cherbourg,no,True
496,1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
498,0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False
500,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
501,0,3,female,21.0,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True
502,0,3,female,,0,0,7.6292,Q,Third,woman,False,,Queenstown,no,True
503,0,3,female,37.0,0,0,9.5875,S,Third,woman,False,,Southampton,no,True
507,1,1,male,,0,0,26.55,S,First,man,True,,Southampton,yes,True
509,1,3,male,26.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
512,1,1,male,36.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
513,1,1,female,54.0,1,0,59.4,C,First,woman,False,,Cherbourg,yes,False
515,0,1,male,47.0,0,0,34.0208,S,First,man,True,D,Southampton,no,True
516,1,2,female,34.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
517,0,3,male,,0,0,24.15,Q,Third,man,True,,Queenstown,no,True
520,1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True
521,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
523,1,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
525,0,3,male,40.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
527,0,1,male,,0,0,221.7792,S,First,man,True,C,Southampton,no,True
528,0,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
529,0,2,male,23.0,2,1,11.5,S,Second,man,True,,Southampton,no,False
530,1,2,female,2.0,1,1,26.0,S,Second,child,False,,Southampton,yes,False
533,1,3,female,,0,2,22.3583,C,Third,woman,False,,Cherbourg,yes,False
534,0,3,female,30.0,0,0,8.6625,S,Third,woman,False,,Southampton,no,True
545,0,1,male,64.0,0,0,26.0,S,First,man,True,,Southampton,no,True
546,1,2,female,19.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
547,1,2,male,,0,0,13.8625,C,Second,man,True,,Cherbourg,yes,True
549,1,2,male,8.0,1,1,36.75,S,Second,child,False,,Southampton,yes,False
550,1,1,male,17.0,0,2,110.8833,C,First,man,True,C,Cherbourg,yes,False
552,0,3,male,,0,0,7.8292,Q,Third,man,True,,Queenstown,no,True
554,1,3,female,22.0,0,0,7.775,S,Third,woman,False,,Southampton,yes,True
555,0,1,male,62.0,0,0,26.55,S,First,man,True,,Southampton,no,True
556,1,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False
557,0,1,male,,0,0,227.525,C,First,man,True,,Cherbourg,no,True
558,1,1,female,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False
560,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
562,0,2,male,28.0,0,0,13.5,S,Second,man,True,,Southampton,no,True
564,0,3,female,,0,0,8.05,S,Third,woman,False,,Southampton,no,True
565,0,3,male,24.0,2,0,24.15,S,Third,man,True,,Southampton,no,False
567,0,3,female,29.0,0,4,21.075,S,Third,woman,False,,Southampton,no,False
568,0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
570,1,2,male,62.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True
571,1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False
573,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
575,0,3,male,19.0,0,0,14.5,S,Third,man,True,,Southampton,no,True
578,0,3,female,,1,0,14.4583,C,Third,woman,False,,Cherbourg,no,False
579,1,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
583,0,1,male,36.0,0,0,40.125,C,First,man,True,A,Cherbourg,no,True
585,1,1,female,18.0,0,2,79.65,S,First,woman,False,E,Southampton,yes,False
589,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
590,0,3,male,35.0,0,0,7.125,S,Third,man,True,,Southampton,no,True
592,0,3,male,47.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
594,0,2,male,37.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
595,0,3,male,36.0,1,1,24.15,S,Third,man,True,,Southampton,no,False
598,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
599,1,1,male,49.0,1,0,56.9292,C,First,man,True,A,Cherbourg,yes,False
600,1,2,female,24.0,2,1,27.0,S,Second,woman,False,,Southampton,yes,False
602,0,1,male,,0,0,42.4,S,First,man,True,,Southampton,no,True
603,0,3,male,44.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
604,1,1,male,35.0,0,0,26.55,C,First,man,True,,Cherbourg,yes,True
605,0,3,male,36.0,1,0,15.55,S,Third,man,True,,Southampton,no,False
608,1,2,female,22.0,1,2,41.5792,C,Second,woman,False,,Cherbourg,yes,False
609,1,1,female,40.0,0,0,153.4625,S,First,woman,False,C,Southampton,yes,True
611,0,3,male,,0,0,7.05,S,Third,man,True,,Southampton,no,True
612,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False
618,1,2,female,4.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
620,0,3,male,27.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False
621,1,1,male,42.0,1,0,52.5542,S,First,man,True,D,Southampton,yes,False
629,0,3,male,,0,0,7.7333,Q,Third,man,True,,Queenstown,no,True
632,1,1,male,32.0,0,0,30.5,C,First,man,True,B,Cherbourg,yes,True
633,0,1,male,,0,0,0.0,S,First,man,True,,Southampton,no,True
636,0,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
639,0,3,male,,1,0,16.1,S,Third,man,True,,Southampton,no,False
640,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
643,1,3,male,,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
645,1,1,male,48.0,1,0,76.7292,C,First,man,True,D,Cherbourg,yes,False
648,0,3,male,,0,0,7.55,S,Third,man,True,,Southampton,no,True
649,1,3,female,23.0,0,0,7.55,S,Third,woman,False,,Southampton,yes,True
650,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
651,1,2,female,18.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False
656,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
657,0,3,female,32.0,1,1,15.5,Q,Third,woman,False,,Queenstown,no,False
658,0,2,male,23.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
659,0,1,male,58.0,0,2,113.275,C,First,man,True,D,Cherbourg,no,False
660,1,1,male,50.0,2,0,133.65,S,First,man,True,,Southampton,yes,False
662,0,1,male,47.0,0,0,25.5875,S,First,man,True,E,Southampton,no,True
665,0,2,male,32.0,2,0,73.5,S,Second,man,True,,Southampton,no,False
671,0,1,male,31.0,1,0,52.0,S,First,man,True,B,Southampton,no,False
683,0,3,male,14.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
684,0,2,male,60.0,1,1,39.0,S,Second,man,True,,Southampton,no,False
685,0,2,male,25.0,1,2,41.5792,C,Second,man,True,,Cherbourg,no,False
690,1,1,male,31.0,1,0,57.0,S,First,man,True,B,Southampton,yes,False
691,1,3,female,4.0,0,1,13.4167,C,Third,child,False,,Cherbourg,yes,False
692,1,3,male,,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
693,0,3,male,25.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
696,0,3,male,44.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
697,1,3,female,,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True
698,0,1,male,49.0,1,1,110.8833,C,First,man,True,C,Cherbourg,no,False
699,0,3,male,42.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
701,1,1,male,35.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
704,0,3,male,26.0,1,0,7.8542,S,Third,man,True,,Southampton,no,False
705,0,2,male,39.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
706,1,2,female,45.0,0,0,13.5,S,Second,woman,False,,Southampton,yes,True
707,1,1,male,42.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
708,1,1,female,22.0,0,0,151.55,S,First,woman,False,,Southampton,yes,True
709,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False
710,1,1,female,24.0,0,0,49.5042,C,First,woman,False,C,Cherbourg,yes,True
